nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"San Andrés de Giles II","Alfabetización Digital",10,17,"","","",16,"","","",11,"","","",0,"","","",44,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",2
"San Andrés de Giles II","Formación Laboral",13,10,"","","",5,"","","",49,"","","",36,"","","",100,"Buenos Aires","Oficios digitales","Otras",1
"San Andrés de Giles II","Educación",16,8,"","","",16,"","","",12,"","","",5,"","","",41,"Buenos Aires","Complementos de la educación formal","Otros",1
"San Andrés de Giles II","Cultura y Entretenimiento",31,8,"","","",25,"","","",37,"","","",0,"","","",70,"Buenos Aires","Artes","Otros",2
"Villa Paranacito","Ciudadanía y DD",25,16,"","","",106,"","","",65,"","","",4,"","","",191,"Entre Ríos","Comunidad","Capacitación a agentes municipales",6
"Villa Paranacito","Cultura y Entretenimiento",31,28,"","","",145,"","","",61,"","","",6,"","","",240,"Entre Ríos","Artes","Otros",5
"Saladillo","Alfabetización Digital",10,79,"","","",47,"","","",40,"","","",10,"","","",176,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",4
"Saladillo","Formación Laboral",13,0,"","","",21,"","","",9,"","","",0,"","","",30,"Buenos Aires","Oficios digitales","Programación",1
"San Miguel","Alfabetización Digital",10,0,"","","",0,"","","",68,"","","",0,"","","",68,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"San Miguel","Formación Laboral",13,0,"","","",0,"","","",89,"","","",0,"","","",89,"Buenos Aires","Oficios digitales","Programación",1
"San Miguel","Trámites",22,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Trámites Nacionales","Otros",2
"Pellegrini","Cultura y Entretenimiento",31,73,"","","",19,"","","",11,"","","",0,"","","",103,"Buenos Aires","Artes","Otros",4
"Suipacha (Buenos Aires)","Educación",16,0,"","","",0,"","","",20,"","","",0,"","","",20,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",2
"Suipacha (Buenos Aires)","Ciudadanía y DD",25,0,"","","",5,"","","",25,"","","",0,"","","",30,"Buenos Aires","Comunidad","Otros",3
"Suipacha (Buenos Aires)","Educación",16,0,"","","",43,"","","",0,"","","",0,"","","",43,"Buenos Aires","Complementos de la educación formal","Otros",2
"Suipacha (Buenos Aires)","Cultura y Entretenimiento",31,0,"","","",53,"","","",0,"","","",0,"","","",53,"Buenos Aires","Artes","Otros",2
"Lobos","Educación",16,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",2
"Lobos","Ciudadanía y DD",25,0,"","","",0,"","","",6,"","","",0,"","","",6,"Buenos Aires","Comunidad","Otros",3
"Lobos","Alfabetización Digital",10,0,"","","",0,"","","",351,"","","",0,"","","",351,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Lobos","Trámites",22,11,"","","",48,"","","",18,"","","",23,"","","",100,"Buenos Aires","Trámites Nacionales","Otros",2
"Lobos","Cultura y Entretenimiento",31,0,"","","",46,"","","",32,"","","",4,"","","",82,"Buenos Aires","Artes","Otros",1
"Lincoln","Formación Laboral",13,0,"","","",16,"","","",16,"","","",0,"","","",32,"Buenos Aires","Oficios digitales","Otras",6
"Lincoln","Trámites",22,0,"","","",150,"","","",350,"","","",200,"","","",700,"Buenos Aires","Trámites Nacionales","Otros",3
"Lincoln","Ciudadanía y DD",25,0,"","","",0,"","","",100,"","","",0,"","","",100,"Buenos Aires","Comunidad","Otros",1
"San Martín (Mendoza)","Alfabetización Digital",10,0,"","","",5,"","","",127,"","","",18,"","","",150,"Mendoza","Alfabetización Digital","Alfabetización Digital Inicial",3
"San Martín (Mendoza)","Educación",16,0,"","","",2,"","","",2526,"","","",0,"","","",2528,"Mendoza","Complementos de la educación formal","FINES",15
"San Martín (Mendoza)","Trámites",22,0,"","","",1,"","","",58,"","","",29,"","","",88,"Mendoza","Trámites Nacionales","Validación de identidad",4
"San Martín (Mendoza)","Ciudadanía y DD",25,0,"","","",0,"","","",62,"","","",0,"","","",62,"Mendoza","Comunidad","Capacitación a agentes municipales",1
"San Martín (Mendoza)","Cultura y Entretenimiento",31,0,"","","",6,"","","",537,"","","",0,"","","",543,"Mendoza","Artes","Otros",4
"Carlos Casares","Alfabetización Digital",10,17,"","","",0,"","","",0,"","","",0,"","","",17,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Carlos Casares","Formación Laboral",13,0,"","","",0,"","","",90,"","","",0,"","","",90,"Buenos Aires","Oficios digitales","Otras",4
"Carlos Casares","Educación",16,240,"","","",15,"","","",0,"","","",0,"","","",255,"Buenos Aires","Complementos de la educación formal","Otros",3
"Bragado","Educación",16,0,"","","",0,"","","",10,"","","",0,"","","",10,"Buenos Aires","Complementos de la educación formal","Otros",1
"Bragado","Trámites",22,0,"","","",8,"","","",70,"","","",10,"","","",88,"Buenos Aires","Trámites Nacionales","Otros",13
"Bragado","Cultura y Entretenimiento",31,0,"","","",15,"","","",7,"","","",0,"","","",22,"Buenos Aires","Artes","Otros",2
"Adolfo Alsina","Educación",16,0,"","","",4,"","","",8,"","","",0,"","","",12,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",2
"Adolfo Alsina","Ciudadanía y DD",25,0,"","","",4,"","","",11,"","","",0,"","","",15,"Buenos Aires","Comunidad","Otros",3
"Adolfo Alsina","Alfabetización Digital",10,0,"","","",8,"","","",11,"","","",1,"","","",20,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Adolfo Alsina","Educación",16,15,"","","",67,"","","",6,"","","",0,"","","",88,"Buenos Aires","Complementos de la educación formal","Otros",2
"Adolfo Alsina","Trámites",22,5,"","","",65,"","","",85,"","","",46,"","","",201,"Buenos Aires","Trámites Nacionales","Otros",3
"Adolfo Alsina","Cultura y Entretenimiento",31,60,"","","",40,"","","",23,"","","",5,"","","",128,"Buenos Aires","Artes","Otros",1
"Luján de Cuyo CDF","Alfabetización Digital",10,0,"","","",40,"","","",60,"","","",0,"","","",100,"Mendoza","Alfabetización Digital","Alfabetización Digital Inicial",1
"San Vicente (Buenos Aires)","Trámites",22,0,"","","",20,"","","",19,"","","",8,"","","",47,"Buenos Aires","Trámites Nacionales","Otros",2
"San Vicente (Buenos Aires)","Cultura y Entretenimiento",31,0,"","","",17,"","","",6,"","","",0,"","","",23,"Buenos Aires","Uso Libre","Navegación libre",1
"Sanagasta","Educación",16,0,"","","",0,"","","",5,"","","",0,"","","",5,"La Rioja","Complementos de la educación formal","Videoconferencias formativas",2
"Sanagasta","Ciudadanía y DD",25,0,"","","",2,"","","",10,"","","",0,"","","",12,"La Rioja","Comunidad","Otros",3
"Sanagasta","Educación",16,15,"","","",5,"","","",0,"","","",0,"","","",20,"La Rioja","Complementos de la educación formal","Apoyo escolar",1
"Sanagasta","Trámites",22,0,"","","",8,"","","",9,"","","",0,"","","",17,"La Rioja","Trámites Nacionales","ANSES",2
"Las Rosas","Ciudadanía y DD",25,0,"","","",1400,"","","",2340,"","","",2325,"","","",6065,"Santa Fe","Comunidad","Otros",3
"Puan II (Darregueira)","Educación",16,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Complementos de la educación formal","Videoconferencias formativas",2
"Puan II (Darregueira)","Ciudadanía y DD",25,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Comunidad","Otros",2
"Puan II (Darregueira)","Formación Laboral",13,52,"","","",10,"","","",17,"","","",0,"","","",79,"Buenos Aires","Oficios digitales","Otras",2
"Puan II (Darregueira)","Educación",16,205,"","","",130,"","","",36,"","","",0,"","","",371,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",2
