"NRO_HOGAR";"RESPONDENTE";"IP_III_04";"IP_III_05";"IP_III_06";"CODUSU";"AGLOMERADO";"POND_TIC";"TRIMESTRE";"ANO4";"COMPONENTE"
1;1;1;1;1;"TQRMNOPYQHJOLNCDEFIAH00664997";2;799;4;2020;1
1;2;1;1;1;"TQRMNOPYSHJOLNCDEFIAH00664998";2;799;4;2020;3
1;2;1;1;1;"TQRMNOPYSHJOLNCDEFIAH00664998";2;799;4;2020;4
1;2;1;1;1;"TQRMNOPYSHJOLNCDEFIAH00664998";2;799;4;2020;2
1;2;1;1;1;"TQRMNOPYSHJOLNCDEFIAH00664998";2;799;4;2020;1
1;1;1;2;1;"TQRMNORRSHJOLNCDEFIAH00664999";2;799;4;2020;1
1;2;1;2;1;"TQRMNORUVHJOLQCDEFIAH00665000";2;847;4;2020;1
1;2;1;1;1;"TQRMNORUVHJOLQCDEFIAH00665000";2;847;4;2020;3
1;2;1;2;1;"TQRMNORUVHJOLQCDEFIAH00665000";2;847;4;2020;2
1;1;1;1;1;"TQRMNORUYHJOLQCDEFIAH00665001";2;847;4;2020;1
1;1;1;2;1;"TQRMNORUYHJOLQCDEFIAH00665001";2;847;4;2020;2
1;1;1;2;1;"TQRMNOPVYHJOLTCDEFIAH00665002";2;582;4;2020;3
1;1;1;1;1;"TQRMNOPVYHJOLTCDEFIAH00665002";2;582;4;2020;2
1;1;1;1;1;"TQRMNOPVYHJOLTCDEFIAH00665002";2;582;4;2020;1
1;1;1;1;1;"TQRMNOQSVHJOLTCDEFIAH00665003";2;582;4;2020;1
1;1;1;1;1;"TQRMNOQSXHJOLTCDEFIAH00665004";2;582;4;2020;3
1;1;1;1;1;"TQRMNOQSXHJOLTCDEFIAH00665004";2;582;4;2020;2
1;1;1;2;1;"TQRMNOQSXHJOLTCDEFIAH00665004";2;582;4;2020;1
1;1;1;1;1;"TQRMNOQSXHJOLTCDEFIAH00665004";2;582;4;2020;4
1;1;2;2;2;"TQRMNOQSYHJOLTCDEFIAH00665005";2;582;4;2020;2
1;1;1;2;1;"TQRMNOQSYHJOLTCDEFIAH00665005";2;582;4;2020;1
1;2;1;1;1;"TQRMNOQXTHJOMMCDEFIAH00665006";2;827;4;2020;3
1;2;1;1;2;"TQRMNOQXTHJOMMCDEFIAH00665006";2;827;4;2020;4
1;2;1;1;1;"TQRMNOQXTHJOMMCDEFIAH00665006";2;827;4;2020;1
1;2;1;1;1;"TQRMNOQXTHJOMMCDEFIAH00665006";2;827;4;2020;2
1;1;1;2;1;"TQRMNOSVWHKKKPCDEFIAH00659465";2;1654;4;2020;2
1;1;1;2;1;"TQRMNOSVWHKKKPCDEFIAH00659465";2;1654;4;2020;1
1;1;1;1;1;"TQRMNOSVXHKKKPCDEFIAH00665008";2;1435;4;2020;2
1;1;1;1;1;"TQRMNOSVXHKKKPCDEFIAH00665008";2;1435;4;2020;1
1;1;1;1;1;"TQRMNOQPXHKKKQCDEFIAH00665009";2;1610;4;2020;1
1;1;1;1;1;"TQRMNOSPYHKKKQCDEFIAH00665010";2;1610;4;2020;1
1;2;1;1;1;"TQRMNOSQPHKKKQCDEFIAH00665011";2;1610;4;2020;1
1;2;1;1;1;"TQRMNOSQPHKKKQCDEFIAH00665011";2;1610;4;2020;2
1;2;1;2;1;"TQRMNOSQQHKKKQCDEFIAH00665012";2;1610;4;2020;2
1;2;1;1;1;"TQRMNOSQQHKKKQCDEFIAH00665012";2;1610;4;2020;1
1;2;1;1;1;"TQRMNOSWSHKLKSCDEFIAH00665013";2;2649;4;2020;1
1;2;1;1;1;"TQRMNOSWSHKLKSCDEFIAH00665013";2;2649;4;2020;2
1;1;1;1;1;"TQRMNOPUPHKLLRCDEFIAH00665014";2;1321;4;2020;2
1;1;1;1;1;"TQRMNOPUPHKLLRCDEFIAH00665014";2;1321;4;2020;1
1;1;1;1;1;"TQRMNOPUQHKLLRCDEFIAH00665015";2;1321;4;2020;2
1;1;1;1;1;"TQRMNOPUQHKLLRCDEFIAH00665015";2;1321;4;2020;4
1;1;1;1;1;"TQRMNOPUQHKLLRCDEFIAH00665015";2;1321;4;2020;5
1;1;1;1;1;"TQRMNOPUQHKLLRCDEFIAH00665015";2;1321;4;2020;1
1;1;1;1;1;"TQRMNOPUQHKLLRCDEFIAH00665015";2;1321;4;2020;3
1;1;1;1;1;"TQRMNORPSHKLLRCDEFIAH00665016";2;1321;4;2020;1
1;1;1;1;1;"TQRMNORPSHKLLRCDEFIAH00665016";2;1321;4;2020;2
1;1;1;2;1;"TQRMNORPTHKLLRCDEFIAH00665017";2;1321;4;2020;2
1;1;1;2;1;"TQRMNORPTHKLLRCDEFIAH00665017";2;1321;4;2020;1
1;1;1;1;1;"TQRMNOPQQHKMKNCDEFIAH00665018";2;618;4;2020;3
1;1;1;2;1;"TQRMNOPQQHKMKNCDEFIAH00665018";2;618;4;2020;1
1;1;1;2;1;"TQRMNOPQQHKMKNCDEFIAH00665018";2;618;4;2020;2
1;1;1;2;1;"TQRMNOPQRHKMKNCDEFIAH00665019";2;618;4;2020;2
1;1;1;2;1;"TQRMNOPQRHKMKNCDEFIAH00665019";2;618;4;2020;1
1;1;2;2;1;"TQRMNOPQSHKMKNCDEFIAH00665020";2;618;4;2020;1
1;1;1;2;1;"TQRMNOPQTHKMKNCDEFIAH00659475";2;581;4;2020;1
1;1;1;2;1;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;4
1;1;1;1;1;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;3
1;1;1;1;2;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;7
1;1;1;1;2;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;8
1;1;1;2;1;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;1
1;1;1;1;1;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;2
1;1;1;1;2;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;5
1;1;1;1;2;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;6
1;1;1;1;2;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;9
1;1;1;1;2;"TQRMNOPQUHKMKNCDEFIAH00659464";2;547;4;2020;10
1;1;1;1;1;"TQRMNORRRHKMKNCDEFIAH00665023";2;618;4;2020;1
1;1;1;1;1;"TQRMNORRRHKMKNCDEFIAH00665023";2;618;4;2020;2
1;1;1;1;1;"TQRMNORRSHKMKNCDEFIAH00665024";2;618;4;2020;1
1;1;1;2;1;"TQRMNORRSHKMKNCDEFIAH00665024";2;618;4;2020;2
1;2;2;2;1;"TQRMNORSRHKMKNCDEFIAH00665025";2;618;4;2020;2
1;2;2;2;2;"TQRMNORSRHKMKNCDEFIAH00665025";2;618;4;2020;1
1;1;1;2;1;"TQRMNOPWYHKMKOCDEFIAH00665026";2;579;4;2020;1
1;1;1;2;1;"TQRMNOPWYHKMKOCDEFIAH00665026";2;579;4;2020;2
1;1;1;2;1;"TQRMNORTWHKMKOCDEFIAH00665027";2;579;4;2020;3
1;1;1;2;1;"TQRMNORTWHKMKOCDEFIAH00665027";2;579;4;2020;1
1;1;1;2;1;"TQRMNORTWHKMKOCDEFIAH00665027";2;579;4;2020;2
1;2;1;2;1;"TQRMNORTXHKMKOCDEFIAH00665028";2;579;4;2020;2
1;2;1;2;1;"TQRMNORTXHKMKOCDEFIAH00665028";2;579;4;2020;1
1;3;1;2;1;"TQRMNORTYHKMKOCDEFIAH00665029";2;579;4;2020;1
1;3;1;2;1;"TQRMNORTYHKMKOCDEFIAH00665029";2;579;4;2020;2
1;3;2;2;1;"TQRMNORTYHKMKOCDEFIAH00665029";2;579;4;2020;3
1;1;1;1;1;"TQRMNORUPHKMKOCDEFIAH00665030";2;579;4;2020;1
1;1;1;1;1;"TQRMNORUPHKMKOCDEFIAH00665030";2;579;4;2020;2
1;1;1;2;1;"TQRMNORUPHKMKOCDEFIAH00665030";2;579;4;2020;3
1;1;1;1;1;"TQRMNORUQHKMKOCDEFIAH00665031";2;579;4;2020;1
1;1;1;2;1;"TQRMNORSQHKMKTCDEFIAH00665032";2;684;4;2020;2
1;1;1;1;1;"TQRMNORSQHKMKTCDEFIAH00665032";2;684;4;2020;1
1;1;1;1;1;"TQRMNORUQHKMKUCDEFIAH00665033";2;704;4;2020;2
1;1;1;1;1;"TQRMNORUQHKMKUCDEFIAH00665033";2;704;4;2020;1
1;1;1;1;1;"TQRMNORTXHKMLLCDEFIAH00665034";2;632;4;2020;1
1;1;1;1;1;"TQRMNORUPHKMLLCDEFIAH00665035";2;632;4;2020;1
1;1;1;1;2;"TQRMNORUPHKMLLCDEFIAH00665035";2;632;4;2020;5
1;1;1;1;2;"TQRMNORUPHKMLLCDEFIAH00665035";2;632;4;2020;4
1;1;1;1;2;"TQRMNORUPHKMLLCDEFIAH00665035";2;632;4;2020;3
1;1;1;1;1;"TQRMNORUPHKMLLCDEFIAH00665035";2;632;4;2020;2
1;1;1;1;1;"TQRMNORUQHKMLLCDEFIAH00665036";2;632;4;2020;1
1;1;1;1;2;"TQRMNORUQHKMLLCDEFIAH00665036";2;632;4;2020;4
